INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,JINDALSTEL,30-Jan-2025,,948.2,18948125,197500
FUTSTK,LICHSGFIN,30-Jan-2025,,610.2,25134000,-52000
FUTSTK,AARTIIND,30-Jan-2025,,417.1,15449000,197000
FUTSTK,BAJAJFINSV,30-Jan-2025,,1707.0,13646000,666000
FUTSTK,APLAPOLLO,30-Jan-2025,,1592.7,3155950,-257600
FUTSTK,ADANIENSOL,30-Jan-2025,,814.35,5548750,72500
FUTSTK,GRANULES,30-Jan-2025,,612.75,13895000,274000
FUTSTK,DALBHARAT,30-Jan-2025,,1825.75,2345750,37950
FUTSTK,INDIANB,30-Jan-2025,,526.75,4748100,611800
FUTSTK,TATAELXSI,30-Jan-2025,,6715.05,807800,120100
FUTSTK,BANKBARODA,30-Jan-2025,,242.44,175880250,3393000
FUTSTK,INDUSTOWER,30-Jan-2025,,348.8,90910900,1377000
FUTSTK,UNIONBANK,30-Jan-2025,,122.04,26257950,4796700
FUTSTK,POWERGRID,30-Jan-2025,,316.85,70932600,-1911600
FUTSTK,IRFC,30-Jan-2025,,151.76,47037600,-1332450
FUTSTK,FEDERALBNK,30-Jan-2025,,207.46,78975000,-815000
FUTSTK,BAJAJ-AUTO,30-Jan-2025,,9119.35,3372525,7950
FUTSTK,HINDALCO,30-Jan-2025,,602.05,44938600,422800
FUTSTK,MFSL,30-Jan-2025,,1129.5,3196800,-27200
FUTSTK,ATGL,30-Jan-2025,,723.15,3354975,175925
FUTSTK,BSE,30-Jan-2025,,5505.55,2413625,39625
FUTSTK,UPL,30-Jan-2025,,512.85,28556625,77235
FUTSTK,PNB,30-Jan-2025,,106.21,344672000,17976000
FUTSTK,IDEA,30-Jan-2025,,8.19,3244800000,-23920000
FUTSTK,BEL,30-Jan-2025,,298.35,106416150,-1165650
FUTSTK,LALPATHLAB,30-Jan-2025,,3020.25,677700,-11700
FUTSTK,ABFRL,30-Jan-2025,,284.05,58203600,-436800
FUTSTK,NCC,30-Jan-2025,,280.3,6927825,172175
FUTSTK,CGPOWER,30-Jan-2025,,750.55,4519650,17400
FUTSTK,IGL,30-Jan-2025,,420.0,22181500,269500
FUTSTK,NESTLEIND,30-Jan-2025,,2207.6,8828200,-65000
FUTSTK,OFSS,30-Jan-2025,,12653.05,685500,6100
FUTSTK,PFC,30-Jan-2025,,462.7,63203400,828100
FUTSTK,BPCL,30-Jan-2025,,297.45,52234200,-333000
FUTSTK,WIPRO,30-Jan-2025,,304.55,59376000,-549000
FUTSTK,IPCALAB,30-Jan-2025,,1736.4,2583100,227500
FUTSTK,CHOLAFIN,30-Jan-2025,,1277.0,12013125,-68750
FUTSTK,GAIL,30-Jan-2025,,192.47,113138400,2211350
FUTSTK,RBLBANK,30-Jan-2025,,158.0,66927500,5637500
FUTSTK,HINDUNILVR,30-Jan-2025,,2381.35,14209200,-313200
FUTSTK,PAGEIND,30-Jan-2025,,48302.8,182235,4455
FUTSTK,BATAINDIA,30-Jan-2025,,1421.15,2958750,-104625
FUTSTK,SJVN,30-Jan-2025,,109.04,15280650,2797200
FUTSTK,BANKINDIA,30-Jan-2025,,104.39,24617150,106150
FUTSTK,BANDHANBNK,30-Jan-2025,,161.97,95144000,-333200
FUTSTK,HINDPETRO,30-Jan-2025,,415.3,37764225,-662175
FUTSTK,HDFCBANK,30-Jan-2025,,1799.85,115526950,-7385950
FUTSTK,M&M,30-Jan-2025,,3227.65,17642625,344925
FUTSTK,PVRINOX,30-Jan-2025,,1325.2,3851441,-39886
FUTSTK,AMBUJACEM,30-Jan-2025,,553.55,36706500,763200
FUTSTK,JUBLFOOD,30-Jan-2025,,756.3,16987500,-495000
FUTSTK,BSOFT,30-Jan-2025,,568.25,11146000,399000
