INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,UNITDSPR,30-Jan-2025,,1692.35,10924550,63700
FUTSTK,ABB,30-Jan-2025,,6822.75,1757250,8625
FUTSTK,NATIONALUM,30-Jan-2025,,208.8,52417500,836250
FUTSTK,AARTIIND,30-Jan-2025,,421.65,15106000,-343000
FUTSTK,BAJAJFINSV,30-Jan-2025,,1710.5,13612000,-34000
FUTSTK,DALBHARAT,30-Jan-2025,,1812.55,2232450,-113300
FUTSTK,APLAPOLLO,30-Jan-2025,,1624.5,3071950,-84000
FUTSTK,TATAELXSI,30-Jan-2025,,6636.35,881800,74000
FUTSTK,GAIL,30-Jan-2025,,192.13,115074800,1936400
FUTSTK,BATAINDIA,30-Jan-2025,,1451.45,2875500,-83250
FUTSTK,MARICO,30-Jan-2025,,665.05,19138800,446400
FUTSTK,MPHASIS,30-Jan-2025,,2873.7,3152875,-3025
FUTSTK,LODHA,30-Jan-2025,,1409.2,3488400,391500
FUTSTK,POONAWALLA,30-Jan-2025,,312.95,12407650,740950
FUTSTK,PIIND,30-Jan-2025,,3678.55,1731250,29625
FUTSTK,LALPATHLAB,30-Jan-2025,,2954.0,711000,33300
FUTSTK,LICHSGFIN,30-Jan-2025,,612.8,24769000,-365000
FUTSTK,JINDALSTEL,30-Jan-2025,,960.55,18693750,-254375
FUTSTK,GUJGASLTD,30-Jan-2025,,515.35,5843750,191250
FUTSTK,ABFRL,30-Jan-2025,,281.35,56960800,-1242800
FUTSTK,NCC,30-Jan-2025,,277.85,6760975,-166850
FUTSTK,OBEROIRLTY,30-Jan-2025,,2264.1,5383000,-57050
FUTSTK,GMRAIRPORT,30-Jan-2025,,79.16,274876875,5934375
FUTSTK,TITAN,30-Jan-2025,,3471.8,8208200,167475
FUTSTK,ADANIENSOL,30-Jan-2025,,824.6,5838125,289375
FUTSTK,PEL,30-Jan-2025,,1101.6,9354000,-135000
FUTSTK,SBILIFE,30-Jan-2025,,1452.2,12115500,21000
FUTSTK,HDFCLIFE,30-Jan-2025,,626.5,27067700,11000
FUTSTK,LICI,30-Jan-2025,,913.3,4725350,-16675
FUTSTK,COFORGE,30-Jan-2025,,9684.2,2286450,-78225
FUTSTK,HAL,30-Jan-2025,,4230.7,9654450,65550
FUTSTK,GLENMARK,30-Jan-2025,,1640.75,2545400,-100750
FUTSTK,VBL,30-Jan-2025,,655.75,8618750,-20125
FUTSTK,MGL,30-Jan-2025,,1321.05,6086000,662800
FUTSTK,KOTAKBANK,30-Jan-2025,,1844.25,37040800,-1062400
FUTSTK,BPCL,30-Jan-2025,,298.05,52315200,81000
FUTSTK,TCS,30-Jan-2025,,4089.45,10669750,278775
FUTSTK,NAVINFLUOR,30-Jan-2025,,3376.4,1548225,41825
FUTSTK,IPCALAB,30-Jan-2025,,1735.1,2613000,29900
FUTSTK,BANKBARODA,30-Jan-2025,,242.23,173847375,-2032875
FUTSTK,APOLLOHOSP,30-Jan-2025,,7328.75,1712500,-15125
FUTSTK,VEDL,30-Jan-2025,,460.55,102461550,-354200
FUTSTK,BHARTIARTL,30-Jan-2025,,1605.1,44643825,200925
FUTSTK,GNFC,30-Jan-2025,,570.0,6003400,175500
FUTSTK,AUROPHARMA,30-Jan-2025,,1327.35,13609200,-15400
FUTSTK,CROMPTON,30-Jan-2025,,369.1,24670800,432000
FUTSTK,CANFINHOME,30-Jan-2025,,725.6,6598800,462150
FUTSTK,HAVELLS,30-Jan-2025,,1704.95,8502500,123000
FUTSTK,HINDPETRO,30-Jan-2025,,415.25,37185075,-579150
FUTSTK,GODREJPROP,30-Jan-2025,,2748.5,5363100,221400
FUTSTK,SAIL,30-Jan-2025,,114.51,142616000,1704000
FUTSTK,HINDALCO,30-Jan-2025,,594.25,46050200,1111600
FUTSTK,YESBANK,30-Jan-2025,,20.07,245466000,-962000
FUTSTK,MFSL,30-Jan-2025,,1113.4,3460000,263200
FUTSTK,BRITANNIA,30-Jan-2025,,4846.7,2666400,7900
FUTSTK,TATAMOTORS,30-Jan-2025,,793.8,99974600,-1873850
FUTSTK,ADANIGREEN,30-Jan-2025,,1039.7,8740875,171375
FUTSTK,PERSISTENT,30-Jan-2025,,6417.15,1707900,21600
FUTSTK,IDFCFIRSTB,30-Jan-2025,,65.53,435412500,2745000
FUTSTK,NYKAA,30-Jan-2025,,166.08,25676800,1949950
FUTSTK,INDIAMART,30-Jan-2025,,2262.65,1121700,15000
FUTSTK,TATACHEM,30-Jan-2025,,1032.6,7932650,127050
FUTSTK,CUB,30-Jan-2025,,175.9,28515000,-210000
FUTSTK,ZYDUSLIFE,30-Jan-2025,,981.5,11412000,-11700
FUTSTK,UPL,30-Jan-2025,,532.15,27930615,-626010
FUTSTK,HFCL,30-Jan-2025,,114.55,36279300,1108050
FUTSTK,IDEA,30-Jan-2025,,8.31,3204760000,-40040000
FUTSTK,DLF,30-Jan-2025,,832.95,41300325,28050
FUTSTK,NTPC,30-Jan-2025,,341.85,122554500,-477000
FUTSTK,LAURUSLABS,30-Jan-2025,,612.4,22417900,418200
FUTIDX,FINNIFTY,30-Jan-2025,,23862.6,46150,525
FUTIDX,MIDCPNIFTY,30-Jan-2025,,13053.8,1939400,5000
FUTSTK,TATACONSUM,30-Jan-2025,,941.2,13514928,-214320
FUTSTK,RAMCOCEM,30-Jan-2025,,988.95,6025650,-122400
FUTSTK,IGL,30-Jan-2025,,434.8,22209000,27500
FUTSTK,METROPOLIS,30-Jan-2025,,2000.85,1467600,-110400
FUTSTK,GRANULES,30-Jan-2025,,607.8,14013000,118000
FUTSTK,OFSS,30-Jan-2025,,12373.9,700050,14550
FUTSTK,ESCORTS,30-Jan-2025,,3380.1,1097700,-101400
FUTSTK,POLICYBZR,30-Jan-2025,,2226.15,2745600,-41600
FUTSTK,KALYANKJIL,30-Jan-2025,,782.25,9933175,1681750
FUTSTK,CIPLA,30-Jan-2025,,1516.15,12613575,-167700
FUTSTK,PAYTM,30-Jan-2025,,985.1,12147850,-585000
FUTSTK,PIDILITIND,30-Jan-2025,,2946.8,3197500,190750
FUTSTK,VOLTAS,30-Jan-2025,,1829.25,7583400,252900
FUTSTK,CHAMBLFERT,30-Jan-2025,,502.65,8341000,7600
FUTSTK,SJVN,30-Jan-2025,,109.38,14690025,-590625
FUTSTK,BANKINDIA,30-Jan-2025,,104.73,25987450,1370300
FUTSTK,POWERGRID,30-Jan-2025,,317.05,70403400,-529200
FUTSTK,TRENT,30-Jan-2025,,7335.3,3245200,-9900
FUTSTK,POLYCAB,30-Jan-2025,,7230.8,1492250,-30875
FUTSTK,CONCOR,30-Jan-2025,,788.0,17070000,166000
FUTSTK,ONGC,30-Jan-2025,,259.95,105736400,1892275
FUTSTK,BSOFT,30-Jan-2025,,553.95,11409000,263000
FUTSTK,RECLTD,30-Jan-2025,,540.0,46799000,-1799000
FUTSTK,EICHERMOT,30-Jan-2025,,5327.8,4553850,142450
FUTSTK,BHARATFORG,30-Jan-2025,,1300.3,11823500,324000
FUTSTK,DIVISLAB,30-Jan-2025,,6082.65,3157800,-19000
FUTSTK,SHRIRAMFIN,30-Jan-2025,,3062.85,6585750,-52650
FUTSTK,INFY,30-Jan-2025,,1944.75,42054000,-102800
FUTSTK,IRB,30-Jan-2025,,60.7,66040750,11664500
FUTSTK,BSE,30-Jan-2025,,5361.5,2324125,-89500
FUTSTK,RELIANCE,30-Jan-2025,,1255.85,179258000,-1415500
FUTSTK,BEL,30-Jan-2025,,293.55,109140750,2724600
FUTSTK,NMDC,30-Jan-2025,,68.04,242244000,769500
FUTSTK,ZOMATO,30-Jan-2025,,274.35,115498000,1882000
FUTSTK,CANBK,30-Jan-2025,,101.83,266091750,2214000
FUTSTK,NESTLEIND,30-Jan-2025,,2236.75,8726400,-101800
FUTSTK,LTTS,30-Jan-2025,,4807.2,663200,-8500
FUTSTK,PFC,30-Jan-2025,,467.4,63869000,665600
FUTSTK,WIPRO,30-Jan-2025,,294.65,62778000,3402000
FUTSTK,ASHOKLEY,30-Jan-2025,,235.49,57540000,-1700000
FUTSTK,PAGEIND,30-Jan-2025,,48053.45,181380,-855
FUTSTK,TECHM,30-Jan-2025,,1696.3,11388000,520200
FUTSTK,M&M,30-Jan-2025,,3205.5,17583300,-59325
FUTSTK,ADANIENT,30-Jan-2025,,2579.05,16936800,27900
FUTSTK,HINDCOPPER,30-Jan-2025,,251.02,38271300,-10600
FUTSTK,PVRINOX,30-Jan-2025,,1306.3,3818474,-32967
FUTSTK,SBIN,30-Jan-2025,,797.85,115833000,1920750
FUTSTK,PETRONET,30-Jan-2025,,331.4,32842500,-183000
FUTSTK,DABUR,30-Jan-2025,,527.8,18963750,-920000
FUTSTK,ANGELONE,30-Jan-2025,,2817.45,2386000,325600
FUTSTK,IEX,30-Jan-2025,,177.55,34143750,1016250
FUTSTK,UBL,30-Jan-2025,,2121.3,1413200,-29200
FUTSTK,JIOFIN,30-Jan-2025,,309.25,46543200,4398900
FUTSTK,MOTHERSON,30-Jan-2025,,160.47,118864650,195250
FUTSTK,ATGL,30-Jan-2025,,720.1,3389850,34875
FUTSTK,DIXON,30-Jan-2025,,18505.2,1401350,-8250
FUTSTK,KPITTECH,30-Jan-2025,,1452.25,1614400,124000
FUTSTK,SYNGENE,30-Jan-2025,,860.25,5469000,6000
FUTSTK,AUBANK,30-Jan-2025,,568.4,27351000,1158000
FUTSTK,COROMANDEL,30-Jan-2025,,1970.45,3758650,29400
FUTSTK,MANAPPURAM,30-Jan-2025,,188.81,70305000,-1068000
FUTSTK,ASIANPAINT,30-Jan-2025,,2344.65,13074400,-55400
FUTSTK,INDIANB,30-Jan-2025,,527.35,4602750,-145350
FUTSTK,NAUKRI,30-Jan-2025,,9082.05,1437525,152700
FUTSTK,DRREDDY,30-Jan-2025,,1360.1,12238750,214375
FUTSTK,SUNPHARMA,30-Jan-2025,,1860.8,16026850,-30800
FUTSTK,LTIM,30-Jan-2025,,5746.45,2569500,19650
FUTSTK,CHOLAFIN,30-Jan-2025,,1325.65,12550000,536875
FUTSTK,INDUSTOWER,30-Jan-2025,,346.1,90936400,25500
FUTSTK,CESC,30-Jan-2025,,186.91,10105875,684450
FUTSTK,DELHIVERY,30-Jan-2025,,336.75,8257875,379725
