INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,LTTS,30-Jan-2025,,5233.95,658100,102100
FUTSTK,NATIONALUM,30-Jan-2025,,198.84,50557500,-2257500
FUTSTK,DALBHARAT,30-Jan-2025,,1736.0,2519000,39050
FUTSTK,GAIL,30-Jan-2025,,180.93,117967650,-4700
FUTSTK,GRANULES,30-Jan-2025,,580.4,13164000,-182000
FUTSTK,CHAMBLFERT,30-Jan-2025,,496.8,8059800,-188100
FUTSTK,BRITANNIA,30-Jan-2025,,4828.5,2925800,171700
FUTSTK,BSE,30-Jan-2025,,5982.0,2516875,45000
FUTSTK,IDEA,30-Jan-2025,,8.96,3207200000,42160000
FUTSTK,ABB,30-Jan-2025,,6319.45,1862500,-41000
FUTSTK,CGPOWER,30-Jan-2025,,629.2,6798325,44225
FUTSTK,ALKEM,30-Jan-2025,,5178.65,1053400,-8500
FUTSTK,VBL,30-Jan-2025,,576.15,13097875,133875
FUTSTK,IPCALAB,30-Jan-2025,,1547.1,2661750,35100
FUTSTK,CHOLAFIN,30-Jan-2025,,1283.25,11542500,-343125
FUTSTK,SJVN,30-Jan-2025,,96.64,21735000,94500
FUTSTK,BAJAJ-AUTO,30-Jan-2025,,8594.05,3398175,-14400
FUTSTK,TIINDIA,30-Jan-2025,,3323.9,579450,-12600
FUTSTK,NYKAA,30-Jan-2025,,174.8,35152200,-483800
FUTSTK,CUB,30-Jan-2025,,173.02,29205000,500000
FUTSTK,ZYDUSLIFE,30-Jan-2025,,989.2,9396000,-236700
FUTSTK,HFCL,30-Jan-2025,,102.82,34922250,-2091600
FUTSTK,POONAWALLA,30-Jan-2025,,311.4,11656550,0
FUTSTK,OBEROIRLTY,30-Jan-2025,,1956.7,4904900,79450
FUTSTK,TITAN,30-Jan-2025,,3324.55,8442000,16275
FUTSTK,TATAELXSI,30-Jan-2025,,6167.7,1218300,-37400
FUTSTK,POLICYBZR,30-Jan-2025,,1817.6,2504775,-144625
FUTSTK,PAGEIND,30-Jan-2025,,45648.95,178905,1920
FUTSTK,INDIGO,30-Jan-2025,,4113.15,7164150,-19500
FUTSTK,PVRINOX,30-Jan-2025,,1084.15,4121282,59829
FUTSTK,POLYCAB,30-Jan-2025,,6689.55,1655250,7000
FUTSTK,SAIL,30-Jan-2025,,107.48,135948000,-1328000
FUTSTK,MARICO,30-Jan-2025,,654.95,18231600,-390000
FUTSTK,HUDCO,30-Jan-2025,,223.89,19329675,19400
FUTSTK,YESBANK,30-Jan-2025,,18.33,258934000,-4030000
FUTSTK,SHREECEM,30-Jan-2025,,25332.05,391675,-925
FUTSTK,PERSISTENT,30-Jan-2025,,6063.7,1846700,-21100
FUTSTK,PIIND,30-Jan-2025,,3494.2,1945625,-57625
FUTSTK,LALPATHLAB,30-Jan-2025,,2816.2,1113900,-10650
FUTSTK,NMDC,30-Jan-2025,,65.66,231322500,-3928500
FUTSTK,ADANIENSOL,30-Jan-2025,,795.85,5124375,5625
FUTSTK,HDFCLIFE,30-Jan-2025,,643.75,27688100,200200
FUTSTK,NESTLEIND,30-Jan-2025,,2175.15,9812800,37400
FUTSTK,AARTIIND,30-Jan-2025,,439.55,15822000,-1000000
FUTSTK,OFSS,30-Jan-2025,,10223.6,802300,-100400
FUTSTK,PFC,30-Jan-2025,,435.95,56343300,-915200
FUTSTK,ESCORTS,30-Jan-2025,,3553.0,1099050,-19800
FUTSTK,CIPLA,30-Jan-2025,,1446.15,11860550,-86775
FUTSTK,INDUSTOWER,30-Jan-2025,,355.8,84777300,-292400
FUTSTK,BHARTIARTL,30-Jan-2025,,1633.15,43805925,-380950
FUTSTK,AUROPHARMA,30-Jan-2025,,1158.5,12569150,-136950
FUTSTK,POWERGRID,30-Jan-2025,,298.55,71382600,-149400
FUTSTK,CANFINHOME,30-Jan-2025,,688.25,7102875,-47775
FUTSTK,HAVELLS,30-Jan-2025,,1557.9,9350500,-183000
FUTSTK,TRENT,30-Jan-2025,,6218.7,3656500,28700
FUTSTK,FEDERALBNK,30-Jan-2025,,196.12,86850000,795000
FUTSTK,AMBUJACEM,30-Jan-2025,,540.7,34913700,43200
FUTSTK,ONGC,30-Jan-2025,,264.07,103004825,-2040500
FUTSTK,SBIN,30-Jan-2025,,767.8,112302000,-2280000
FUTSTK,ANGELONE,30-Jan-2025,,2398.0,3271400,-43600
FUTSTK,BHARATFORG,30-Jan-2025,,1206.55,12171500,51500
