INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,GAIL,30-Jan-2025,,181.52,118508150,540500
FUTSTK,NMDC,30-Jan-2025,,66.86,232605000,1282500
FUTSTK,MPHASIS,30-Jan-2025,,2815.85,3217500,-30800
FUTIDX,FINNIFTY,30-Jan-2025,,22683.95,56475,2975
FUTSTK,DLF,30-Jan-2025,,751.2,35880075,-138600
FUTSTK,NATIONALUM,30-Jan-2025,,205.27,51555000,997500
FUTSTK,PAGEIND,30-Jan-2025,,45762.15,178755,-150
FUTSTK,TATACOMM,30-Jan-2025,,1703.65,5442750,-56000
FUTSTK,PVRINOX,30-Jan-2025,,1102.45,4049243,-72039
FUTSTK,JKCEMENT,30-Jan-2025,,4535.0,782500,-19750
FUTSTK,IEX,30-Jan-2025,,172.63,30146250,-67500
FUTSTK,SHREECEM,30-Jan-2025,,25264.85,396725,5050
FUTSTK,INFY,30-Jan-2025,,1816.25,35087600,-4162000
FUTSTK,TATACHEM,30-Jan-2025,,978.75,8319850,-61600
FUTSTK,CUB,30-Jan-2025,,172.69,29185000,-20000
FUTSTK,UNITDSPR,30-Jan-2025,,1429.25,13061650,429450
FUTSTK,OBEROIRLTY,30-Jan-2025,,1974.75,4787300,-117600
FUTSTK,ADANIENSOL,30-Jan-2025,,807.6,5268750,144375
FUTSTK,MARUTI,30-Jan-2025,,12089.05,2951400,15800
FUTSTK,GRANULES,30-Jan-2025,,581.3,13247000,83000
FUTSTK,TATASTEEL,30-Jan-2025,,130.38,211431000,-4191000
FUTSTK,OFSS,30-Jan-2025,,10061.2,791550,-10750
FUTSTK,OIL,30-Jan-2025,,476.25,9761000,-77400
FUTSTK,COALINDIA,30-Jan-2025,,387.65,55005300,-1438500
FUTSTK,ICICIGI,30-Jan-2025,,1954.85,5968000,-53250
FUTSTK,BPCL,30-Jan-2025,,273.75,64821600,-266400
FUTSTK,TCS,30-Jan-2025,,4136.65,11766300,-66675
FUTSTK,APLAPOLLO,30-Jan-2025,,1573.05,4141900,-219100
FUTSTK,TATAELXSI,30-Jan-2025,,6208.5,1185700,-32600
FUTSTK,CIPLA,30-Jan-2025,,1447.2,11866400,5850
FUTSTK,BALKRISIND,30-Jan-2025,,2713.5,1564800,-21900
FUTSTK,PAYTM,30-Jan-2025,,904.35,17173650,230100
FUTSTK,GNFC,30-Jan-2025,,565.5,5848700,48100
FUTSTK,ITC,30-Jan-2025,,441.65,38632000,-297600
FUTSTK,SJVN,30-Jan-2025,,100.33,21432600,-302400
FUTSTK,CROMPTON,30-Jan-2025,,363.6,23556600,75600
FUTSTK,HAVELLS,30-Jan-2025,,1570.9,8173500,-1177000
FUTSTK,DELHIVERY,30-Jan-2025,,337.8,9014275,-67100
FUTSTK,APOLLOTYRE,30-Jan-2025,,453.55,13938300,115600
FUTSTK,HINDCOPPER,30-Jan-2025,,248.67,32194850,-879800
FUTSTK,POLYCAB,30-Jan-2025,,6783.35,1754125,98875
FUTSTK,BIOCON,30-Jan-2025,,393.75,26707500,370000
FUTSTK,SAIL,30-Jan-2025,,109.14,134484000,-1464000
FUTSTK,DIVISLAB,30-Jan-2025,,5928.3,3065600,-52100
FUTSTK,MARICO,30-Jan-2025,,664.65,17928000,-303600
FUTSTK,UBL,30-Jan-2025,,1953.4,1618800,20400
FUTSTK,TATAMOTORS,30-Jan-2025,,782.35,92192100,-350900
FUTSTK,MOTHERSON,30-Jan-2025,,151.37,112577600,-692250
FUTSTK,ATGL,30-Jan-2025,,654.95,4089675,-75175
FUTSTK,PERSISTENT,30-Jan-2025,,5960.15,1825700,-21000
FUTSTK,INDIAMART,30-Jan-2025,,2290.85,1035300,-47100
FUTSTK,IRB,30-Jan-2025,,55.06,83342750,-1568250
FUTSTK,KPITTECH,30-Jan-2025,,1316.1,1888400,174800
FUTSTK,ZYDUSLIFE,30-Jan-2025,,998.1,9287100,-108900
FUTSTK,UPL,30-Jan-2025,,553.65,27022765,42005
FUTSTK,HFCL,30-Jan-2025,,104.02,35561350,639100
FUTSTK,LALPATHLAB,30-Jan-2025,,2813.6,1087200,-26700
FUTSTK,LAURUSLABS,30-Jan-2025,,569.6,21239800,323000
FUTSTK,ABB,30-Jan-2025,,6528.45,1789625,-72875
FUTSTK,LICHSGFIN,30-Jan-2025,,563.0,22580000,-231000
FUTSTK,COROMANDEL,30-Jan-2025,,1879.9,3617600,-74550
FUTSTK,VBL,30-Jan-2025,,558.0,12902750,-195125
FUTSTK,KOTAKBANK,30-Jan-2025,,1762.9,36081200,-474000
FUTSTK,KALYANKJIL,30-Jan-2025,,506.45,14343700,-685875
FUTSTK,LUPIN,30-Jan-2025,,2117.6,7349950,115175
FUTSTK,CHOLAFIN,30-Jan-2025,,1261.85,11886875,344375
FUTSTK,DEEPAKNTR,30-Jan-2025,,2361.1,1709400,-19500
FUTSTK,RBLBANK,30-Jan-2025,,153.91,53175000,-260000
FUTSTK,INDHOTEL,30-Jan-2025,,816.8,17892000,235000
FUTSTK,AUROPHARMA,30-Jan-2025,,1179.4,12696750,127600
FUTSTK,IRFC,30-Jan-2025,,142.11,56280150,-155100
FUTSTK,HINDPETRO,30-Jan-2025,,360.0,37903950,168075
FUTSTK,M&M,30-Jan-2025,,2927.9,16102450,60025
FUTSTK,FEDERALBNK,30-Jan-2025,,192.26,87690000,840000
FUTSTK,JUBLFOOD,30-Jan-2025,,695.1,15080000,431250
FUTSTK,BAJAJ-AUTO,30-Jan-2025,,8591.2,3409500,11325
FUTSTK,ANGELONE,30-Jan-2025,,2386.0,3250400,-21000
FUTSTK,TIINDIA,30-Jan-2025,,3408.2,574200,-5250
FUTSTK,YESBANK,30-Jan-2025,,18.29,258362000,-572000
FUTSTK,NYKAA,30-Jan-2025,,173.16,34739200,-413000
FUTSTK,BOSCHLTD,30-Jan-2025,,31485.9,281175,300
FUTSTK,BSE,30-Jan-2025,,6020.95,2573250,56375
FUTSTK,CDSL,30-Jan-2025,,1601.9,5716550,114450
FUTSTK,SYNGENE,30-Jan-2025,,821.9,5780000,35000
FUTSTK,IDEA,30-Jan-2025,,9.14,3208600000,1400000
FUTSTK,POONAWALLA,30-Jan-2025,,313.95,11502850,-153700
FUTSTK,JINDALSTEL,30-Jan-2025,,927.9,17482500,231250
FUTSTK,ABFRL,30-Jan-2025,,275.2,58435000,-707200
FUTSTK,GMRAIRPORT,30-Jan-2025,,76.32,248473125,-1620000
FUTSTK,ZOMATO,30-Jan-2025,,249.45,127350000,-428000
FUTSTK,PEL,30-Jan-2025,,1034.25,8644500,30000
FUTSTK,SBILIFE,30-Jan-2025,,1541.2,9557250,264000
FUTSTK,LTTS,30-Jan-2025,,5384.7,716000,57900
FUTSTK,PFC,30-Jan-2025,,435.0,56043000,-300300
FUTSTK,POLICYBZR,30-Jan-2025,,1727.0,2751450,246675
FUTSTK,ASHOKLEY,30-Jan-2025,,207.17,54475000,167500
FUTSTK,NAVINFLUOR,30-Jan-2025,,3763.4,1661800,-28875
