INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,UNITDSPR,30-Jan-2025,,1692.35,1698.25,-5.900000000000091,-0.3474164581186569,10924550,10860850,63700,0.5865102639296188,Short Build-up
FUTSTK,ABB,30-Jan-2025,,6822.75,6938.8,-116.05000000000018,-1.6724793912492102,1757250,1748625,8625,0.4932446922582029,Short Build-up
FUTSTK,NATIONALUM,30-Jan-2025,,208.8,217.68,-8.879999999999995,-4.079382579933846,52417500,51581250,836250,1.6212286441294073,Short Build-up
FUTSTK,AARTIIND,30-Jan-2025,,421.65,417.1,4.5499999999999545,1.0908654998801137,15106000,15449000,-343000,-2.2202084277299505,Short Covering
FUTSTK,BAJAJFINSV,30-Jan-2025,,1710.5,1707.0,3.5,0.2050380785002929,13612000,13646000,-34000,-0.24915726220137768,Short Covering
FUTSTK,DALBHARAT,30-Jan-2025,,1812.55,1825.75,-13.200000000000045,-0.7229905518280183,2232450,2345750,-113300,-4.8300117233294255,Long Unwinding
FUTSTK,APLAPOLLO,30-Jan-2025,,1624.5,1592.7,31.799999999999955,1.9966095309851166,3071950,3155950,-84000,-2.6616391260951535,Short Covering
FUTSTK,TATAELXSI,30-Jan-2025,,6636.35,6715.05,-78.69999999999982,-1.1719942517181527,881800,807800,74000,9.160683337459767,Short Build-up
FUTSTK,GAIL,30-Jan-2025,,192.13,192.47,-0.3400000000000034,-0.176650906634802,115074800,113138400,1936400,1.7115320704553005,Short Build-up
FUTSTK,BATAINDIA,30-Jan-2025,,1451.45,1421.15,30.299999999999955,2.132076135524044,2875500,2958750,-83250,-2.8136882129277567,Short Covering
FUTSTK,MARICO,30-Jan-2025,,665.05,657.35,7.699999999999932,1.171369894272447,19138800,18692400,446400,2.388136354882198,Long Build-up
FUTSTK,MPHASIS,30-Jan-2025,,2873.7,2907.75,-34.05000000000018,-1.1710085117358846,3152875,3155900,-3025,-0.0958522133147438,Long Unwinding
