INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,GAIL,25-Jul-2024,XX,230.41,133905675,553575
FUTSTK,CHOLAFIN,25-Jul-2024,XX,1410.15,8419375,149375
FUTSTK,JINDALSTEL,25-Jul-2024,XX,1018.55,13918125,321250
FUTSTK,DRREDDY,25-Jul-2024,XX,6555.0,2869625,10375
FUTSTK,LT,25-Jul-2024,XX,3637.3,16310850,342300
FUTSTK,AUROPHARMA,25-Jul-2024,XX,1323.7,12614800,-176550
FUTSTK,ITC,25-Jul-2024,XX,459.9,118169600,7328000
FUTSTK,POLYCAB,25-Jul-2024,XX,6626.45,3934000,-288875
FUTSTK,UNITDSPR,25-Jul-2024,XX,1285.45,12878600,86100
FUTSTK,AARTIIND,25-Jul-2024,XX,704.35,11762000,-118000
FUTSTK,ULTRACEMCO,25-Jul-2024,XX,11591.5,2134500,-30500
FUTSTK,APOLLOHOSP,25-Jul-2024,XX,6400.15,1993375,-69625
FUTSTK,BHARTIARTL,25-Jul-2024,XX,1440.65,44318450,-223725
FUTSTK,HDFCBANK,25-Jul-2024,XX,1629.05,158737150,1355200
FUTSTK,DIVISLAB,25-Jul-2024,XX,4587.4,2554400,-94200
FUTSTK,MPHASIS,25-Jul-2024,XX,2566.75,4263325,-114125
FUTSTK,MOTHERSON,25-Jul-2024,XX,199.22,107259700,603500
FUTSTK,IDFCFIRSTB,25-Jul-2024,XX,78.56,412530000,1657500
FUTSTK,SYNGENE,25-Jul-2024,XX,724.8,6329000,417000
FUTSTK,MGL,25-Jul-2024,XX,1709.35,2337200,30000
FUTSTK,KOTAKBANK,25-Jul-2024,XX,1847.0,36932400,-229200
FUTSTK,BPCL,25-Jul-2024,XX,307.65,67296600,1333800
FUTSTK,LUPIN,25-Jul-2024,XX,1817.3,10430775,90525
FUTSTK,IPCALAB,25-Jul-2024,XX,1228.15,2429700,17550
FUTSTK,ICICIPRULI,25-Jul-2024,XX,655.75,10971000,-204000
FUTSTK,HCLTECH,25-Jul-2024,XX,1503.85,17341800,-750750
FUTSTK,CHAMBLFERT,25-Jul-2024,XX,497.4,10507000,-125400
FUTSTK,INDUSTOWER,25-Jul-2024,XX,394.7,88515600,-2961400
FUTSTK,PVRINOX,25-Jul-2024,XX,1466.25,4894175,124135
FUTSTK,CONCOR,25-Jul-2024,XX,1060.25,15806000,273000
FUTSTK,BAJAJ-AUTO,25-Jul-2024,XX,9484.3,2249625,-54750
FUTSTK,PETRONET,25-Jul-2024,XX,339.15,32313000,-87000
FUTSTK,SAIL,25-Jul-2024,XX,152.33,141596000,732000
FUTSTK,GODREJCP,25-Jul-2024,XX,1441.15,5819000,-16500
FUTSTK,MFSL,25-Jul-2024,XX,1033.65,4324000,-230400
FUTSTK,BOSCHLTD,25-Jul-2024,XX,35451.65,274125,1250
FUTSTK,ABB,25-Jul-2024,XX,8485.0,1346375,25625
FUTSTK,PEL,25-Jul-2024,XX,935.25,14276250,-348750
FUTSTK,SBILIFE,25-Jul-2024,XX,1561.85,8206125,-318750
FUTSTK,PFC,25-Jul-2024,XX,571.25,47684000,-838500
FUTSTK,COLPAL,25-Jul-2024,XX,3013.6,2768150,2100
FUTSTK,BALKRISIND,25-Jul-2024,XX,3154.55,2098500,300
FUTSTK,SRF,25-Jul-2024,XX,2391.25,4793250,19500
FUTSTK,LTIM,25-Jul-2024,XX,5431.25,3585600,108300
FUTSTK,MCX,25-Jul-2024,XX,3774.1,2533400,-27600
FUTSTK,PAGEIND,25-Jul-2024,XX,39261.45,168960,1185
FUTSTK,INDIGO,25-Jul-2024,XX,4330.05,7791600,-210000
FUTSTK,CROMPTON,25-Jul-2024,XX,425.45,23985000,410400
FUTSTK,POWERGRID,25-Jul-2024,XX,344.2,63421200,1486800
FUTSTK,HAVELLS,25-Jul-2024,XX,1926.35,7703000,-151000
FUTSTK,HINDPETRO,25-Jul-2024,XX,350.9,45665775,-330075
FUTSTK,M&M,25-Jul-2024,XX,2708.9,16719500,314650
FUTSTK,TATACOMM,25-Jul-2024,XX,1873.35,7045000,-48000
FUTSTK,ADANIENT,25-Jul-2024,XX,3091.75,16561800,49500
FUTSTK,BSOFT,25-Jul-2024,XX,694.25,13852000,-48000
FUTSTK,HINDALCO,25-Jul-2024,XX,698.4,40398400,-68600
FUTSTK,UBL,25-Jul-2024,XX,2059.35,2326400,41200
FUTSTK,SHREECEM,25-Jul-2024,XX,27778.9,263150,-2350
FUTSTK,PERSISTENT,25-Jul-2024,XX,4638.35,2097200,-400
FUTSTK,INDIAMART,25-Jul-2024,XX,2772.7,1060500,-55800
FUTSTK,PNB,25-Jul-2024,XX,119.9,245480000,128000
FUTSTK,IDEA,25-Jul-2024,XX,16.66,3945560000,36520000
FUTSTK,LICHSGFIN,25-Jul-2024,XX,791.65,27573000,-458000
FUTSTK,ABFRL,25-Jul-2024,XX,324.8,38279800,-520000
FUTSTK,OBEROIRLTY,25-Jul-2024,XX,1715.8,8017800,-24500
FUTSTK,NMDC,25-Jul-2024,XX,247.29,95116500,-1435500
FUTSTK,CANBK,25-Jul-2024,XX,114.33,274927500,2679750
FUTSTK,NATIONALUM,25-Jul-2024,XX,199.2,58563750,-1053750
FUTSTK,MANAPPURAM,25-Jul-2024,XX,213.6,47259000,3579000
FUTSTK,OFSS,25-Jul-2024,XX,10202.35,1857700,32000
FUTSTK,COFORGE,25-Jul-2024,XX,5583.55,2132700,62850
FUTSTK,M&MFIN,25-Jul-2024,XX,297.1,38402000,1078000
FUTSTK,EXIDEIND,25-Jul-2024,XX,563.6,26620200,172800
FUTSTK,TATAPOWER,25-Jul-2024,XX,442.35,88177950,-163350
FUTSTK,VEDL,25-Jul-2024,XX,449.4,133075700,4091700
FUTSTK,GNFC,25-Jul-2024,XX,687.0,6481800,-83200
FUTSTK,FEDERALBNK,25-Jul-2024,XX,193.48,92725000,2700000
FUTSTK,TATAMOTORS,25-Jul-2024,XX,1022.95,55898700,-2846250
FUTSTK,LTF,25-Jul-2024,XX,180.07,69120842,1325214
FUTSTK,TATACHEM,25-Jul-2024,XX,1063.9,11283800,347600
FUTSTK,IOC,25-Jul-2024,XX,175.18,157564875,12260625
FUTSTK,UPL,25-Jul-2024,XX,559.9,35118200,-443300
FUTSTK,AUBANK,25-Jul-2024,XX,634.8,25867000,-262000
FUTSTK,BERGEPAINT,25-Jul-2024,XX,524.2,20172240,0
FUTSTK,DLF,25-Jul-2024,XX,833.2,41647650,-301950
FUTSTK,PIIND,25-Jul-2024,XX,3867.7,1684000,-27000
FUTSTK,GUJGASLTD,25-Jul-2024,XX,640.4,8662500,-76250
FUTSTK,TATACONSUM,25-Jul-2024,XX,1136.1,11028150,468000
FUTSTK,IGL,25-Jul-2024,XX,531.6,12731125,70125
FUTSTK,LTTS,25-Jul-2024,XX,4938.85,1078900,23500
FUTSTK,ICICIGI,25-Jul-2024,XX,1877.95,4280000,-24500
FUTSTK,WIPRO,25-Jul-2024,XX,536.15,58521000,493500
FUTSTK,TCS,25-Jul-2024,XX,3933.8,19763275,1872850
FUTSTK,ASTRAL,25-Jul-2024,XX,2340.2,2883886,-64592
FUTSTK,PIDILITIND,25-Jul-2024,XX,3155.8,2214750,-2250
FUTSTK,BANDHANBNK,25-Jul-2024,XX,197.68,90627600,-1159200
FUTSTK,CANFINHOME,25-Jul-2024,XX,877.15,5871450,111150
FUTSTK,TRENT,25-Jul-2024,XX,5643.1,3163400,-20600
FUTSTK,SBIN,25-Jul-2024,XX,858.8,94484250,-1386750
FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2736.0,7770600,342000
FUTSTK,CUB,25-Jul-2024,XX,163.17,26110000,320000
FUTSTK,TITAN,25-Jul-2024,XX,3254.25,9186450,-163450
FUTSTK,RAMCOCEM,25-Jul-2024,XX,798.05,9707850,357850
FUTSTK,HDFCLIFE,25-Jul-2024,XX,635.15,29873800,-1063700
FUTSTK,DALBHARAT,25-Jul-2024,XX,1871.6,3182300,-40975
FUTSTK,ESCORTS,25-Jul-2024,XX,4004.35,1331000,55825
FUTSTK,MUTHOOTFIN,25-Jul-2024,XX,1839.7,4329050,-9900
FUTSTK,CIPLA,25-Jul-2024,XX,1508.25,10326550,5850
FUTSTK,SUNPHARMA,25-Jul-2024,XX,1579.25,16857050,66850
FUTSTK,BANKBARODA,25-Jul-2024,XX,257.75,157113450,-1184625
FUTSTK,TVSMOTOR,25-Jul-2024,XX,2477.9,4973500,-110950
FUTSTK,BHARATFORG,25-Jul-2024,XX,1642.65,8051500,183000
FUTSTK,INDIACEM,25-Jul-2024,XX,305.8,13688000,-1374600
FUTSTK,HDFCAMC,25-Jul-2024,XX,4196.6,2543550,-300
FUTSTK,SIEMENS,25-Jul-2024,XX,7806.7,1746300,-10800
FUTSTK,BRITANNIA,25-Jul-2024,XX,5769.0,2488000,-164400
FUTSTK,SBICARD,25-Jul-2024,XX,735.75,19303200,606400
FUTSTK,INFY,25-Jul-2024,XX,1652.5,52682800,2042400
FUTSTK,ZYDUSLIFE,25-Jul-2024,XX,1169.5,16160400,745200
FUTSTK,ATUL,25-Jul-2024,XX,6844.0,892500,7300
FUTSTK,BEL,25-Jul-2024,XX,337.0,118765200,-3531150
FUTSTK,LAURUSLABS,25-Jul-2024,XX,473.3,18552100,173400
