INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI
FUTSTK,IPCALAB,25-Jul-2024,XX,1222.1,2412150,-124150
FUTSTK,CONCOR,25-Jul-2024,XX,1045.55,15533000,-368000
FUTSTK,AARTIIND,25-Jul-2024,XX,702.95,11880000,-46000
FUTSTK,TCS,25-Jul-2024,XX,3912.6,17890425,663075
FUTSTK,ICICIPRULI,25-Jul-2024,XX,661.9,11175000,-15000
FUTSTK,INDHOTEL,25-Jul-2024,XX,612.25,20611000,294000
FUTSTK,EXIDEIND,25-Jul-2024,XX,567.5,26447400,-765000
FUTSTK,VEDL,25-Jul-2024,XX,457.3,128984000,-680800
FUTSTK,POWERGRID,25-Jul-2024,XX,346.65,61934400,104400
FUTSTK,TATAMOTORS,25-Jul-2024,XX,1007.25,58744950,-2132900
FUTSTK,NESTLEIND,25-Jul-2024,XX,2616.0,6093000,184000
FUTSTK,MUTHOOTFIN,25-Jul-2024,XX,1833.1,4338950,215600
FUTSTK,MPHASIS,25-Jul-2024,XX,2553.75,4377450,-255750
FUTSTK,ZYDUSLIFE,25-Jul-2024,XX,1187.05,15415200,426600
FUTSTK,SYNGENE,25-Jul-2024,XX,728.45,5912000,60000
FUTSTK,UNITDSPR,25-Jul-2024,XX,1281.15,12792500,46900
FUTSTK,COALINDIA,25-Jul-2024,XX,492.15,50849400,-945000
FUTSTK,GNFC,25-Jul-2024,XX,687.55,6565000,-559000
FUTSTK,ABBOTINDIA,25-Jul-2024,XX,27781.9,155100,-980
FUTSTK,BANDHANBNK,25-Jul-2024,XX,193.29,91786800,-5138000
FUTSTK,MARICO,25-Jul-2024,XX,647.5,13638000,-519600
FUTSTK,MFSL,25-Jul-2024,XX,1039.3,4554400,-308000
FUTSTK,MOTHERSON,25-Jul-2024,XX,201.16,106656200,-2669600
FUTSTK,CUB,25-Jul-2024,XX,165.12,25790000,-75000
FUTSTK,DLF,25-Jul-2024,XX,838.05,41949600,-810975
FUTSTK,BPCL,25-Jul-2024,XX,301.85,65962800,1213200
FUTSTK,TATAPOWER,25-Jul-2024,XX,438.2,88341300,-699300
FUTSTK,PIDILITIND,25-Jul-2024,XX,3158.85,2217000,192250
FUTSTK,GAIL,25-Jul-2024,XX,229.64,133352100,-5425950
FUTSTK,MCX,25-Jul-2024,XX,3722.65,2561000,-66000
FUTSTK,BHARTIARTL,25-Jul-2024,XX,1449.55,44542175,-420850
FUTSTK,AUROPHARMA,25-Jul-2024,XX,1342.2,12791350,59400
FUTSTK,HINDALCO,25-Jul-2024,XX,692.95,40467000,-533400
FUTSTK,UBL,25-Jul-2024,XX,2073.8,2285200,-12000
FUTSTK,MRF,25-Jul-2024,XX,131013.75,64995,-1105
FUTSTK,PIIND,25-Jul-2024,XX,3851.85,1711000,-35000
FUTSTK,IGL,25-Jul-2024,XX,528.95,12661000,-629750
FUTSTK,ASIANPAINT,25-Jul-2024,XX,3001.55,12414400,-153600
FUTSTK,LTTS,25-Jul-2024,XX,5032.4,1055400,900
FUTSTK,LTIM,25-Jul-2024,XX,5399.75,3477300,87150
FUTSTK,APOLLOHOSP,25-Jul-2024,XX,6386.35,2063000,-46375
FUTSTK,PAGEIND,25-Jul-2024,XX,39460.65,167775,1635
FUTSTK,TRENT,25-Jul-2024,XX,5584.05,3184000,-22600
FUTSTK,POLYCAB,25-Jul-2024,XX,6377.6,4222875,57750
FUTSTK,DIVISLAB,25-Jul-2024,XX,4656.55,2648600,-56400
FUTSTK,TATACHEM,25-Jul-2024,XX,1066.7,10936200,262900
FUTSTK,LTF,25-Jul-2024,XX,181.18,67795628,-1798186
FUTSTK,IRCTC,25-Jul-2024,XX,1023.65,20447875,-704375
FUTSTK,LICHSGFIN,25-Jul-2024,XX,781.55,28031000,-206000
FUTSTK,JINDALSTEL,25-Jul-2024,XX,1011.0,13596875,107500
FUTSTK,RAMCOCEM,25-Jul-2024,XX,804.9,9350000,118150
FUTSTK,COFORGE,25-Jul-2024,XX,5686.85,2069850,-28650
FUTSTK,GLENMARK,25-Jul-2024,XX,1382.45,7518975,-216050
FUTSTK,ULTRACEMCO,25-Jul-2024,XX,11641.4,2165000,34500
FUTSTK,INDUSTOWER,25-Jul-2024,XX,383.6,91477000,-3107600
FUTSTK,BATAINDIA,25-Jul-2024,XX,1542.35,3512625,-490875
FUTSTK,APOLLOTYRE,25-Jul-2024,XX,529.8,15111300,-285600
FUTSTK,M&M,25-Jul-2024,XX,2742.4,16404850,2982350
FUTSTK,FEDERALBNK,25-Jul-2024,XX,189.33,90025000,-4910000
FUTSTK,TATACOMM,25-Jul-2024,XX,1862.25,7093000,-126500
FUTSTK,HINDCOPPER,25-Jul-2024,XX,335.4,33435050,2888500
FUTSTK,PETRONET,25-Jul-2024,XX,331.4,32400000,-690000
FUTSTK,IEX,25-Jul-2024,XX,177.02,70140000,-10897500
FUTSTK,SHREECEM,25-Jul-2024,XX,27919.6,265500,-7650
FUTSTK,INDIAMART,25-Jul-2024,XX,2728.15,1116300,-34500
FUTSTK,GUJGASLTD,25-Jul-2024,XX,647.25,8738750,-18750
FUTSTK,NMDC,25-Jul-2024,XX,246.01,96552000,2263500
FUTSTK,GRANULES,25-Jul-2024,XX,520.3,10880000,-94000
FUTSTK,BAJAJFINSV,25-Jul-2024,XX,1586.5,12588500,-159500
FUTSTK,OFSS,25-Jul-2024,XX,10292.3,1825700,11400
FUTSTK,DALBHARAT,25-Jul-2024,XX,1867.95,3223275,-157300
FUTSTK,HAL,25-Jul-2024,XX,5500.25,12720600,17100
FUTSTK,ESCORTS,25-Jul-2024,XX,4069.65,1275175,825
FUTSTK,HEROMOTOCO,25-Jul-2024,XX,5526.35,3941700,-105900
FUTSTK,NAUKRI,25-Jul-2024,XX,6790.75,1099650,-11400
FUTSTK,WIPRO,25-Jul-2024,XX,537.15,58027500,-237000
FUTSTK,LUPIN,25-Jul-2024,XX,1822.7,10340250,-4675
FUTSTK,HCLTECH,25-Jul-2024,XX,1504.0,18092550,435400
FUTSTK,HAVELLS,25-Jul-2024,XX,1934.2,7854000,-87000
FUTSTK,HINDPETRO,25-Jul-2024,XX,336.35,45995850,-1249425
FUTSTK,PVRINOX,25-Jul-2024,XX,1452.35,4770040,45991
FUTSTK,TVSMOTOR,25-Jul-2024,XX,2444.1,5084450,-220500
FUTSTK,SAIL,25-Jul-2024,XX,151.13,140864000,-6568000
FUTSTK,BHARATFORG,25-Jul-2024,XX,1662.9,7868500,74000
FUTSTK,INDIACEM,25-Jul-2024,XX,296.2,15062600,-1220900
FUTSTK,DIXON,25-Jul-2024,XX,12468.5,1840300,-2200
FUTSTK,UPL,25-Jul-2024,XX,560.6,35561500,94900
FUTSTK,PNB,25-Jul-2024,XX,119.67,245352000,8720000
FUTSTK,ABFRL,25-Jul-2024,XX,326.75,38799800,-1814800
FUTSTK,OBEROIRLTY,25-Jul-2024,XX,1729.0,8042300,-177100
FUTSTK,TATACONSUM,25-Jul-2024,XX,1152.25,10560150,-318150
FUTSTK,NATIONALUM,25-Jul-2024,XX,199.88,59617500,-2782500
FUTSTK,MANAPPURAM,25-Jul-2024,XX,213.35,43680000,534000
FUTSTK,BALRAMCHIN,25-Jul-2024,XX,437.15,10313600,-1273600
FUTSTK,ASTRAL,25-Jul-2024,XX,2351.25,2948478,32296
FUTSTK,TECHM,25-Jul-2024,XX,1467.3,16642800,-57600
FUTSTK,CANFINHOME,25-Jul-2024,XX,883.1,5760300,-554775
FUTSTK,BSOFT,25-Jul-2024,XX,690.75,13900000,-260000
FUTSTK,BAJAJ-AUTO,25-Jul-2024,XX,9558.25,2304375,-94425
FUTSTK,BRITANNIA,25-Jul-2024,XX,5764.45,2652400,70200
FUTSTK,BOSCHLTD,25-Jul-2024,XX,35326.85,272875,-6100
FUTSTK,IOC,25-Jul-2024,XX,172.11,145304250,-4645875
FUTSTK,BERGEPAINT,25-Jul-2024,XX,527.95,20172240,286440
FUTSTK,BEL,25-Jul-2024,XX,335.15,122296350,1613100
FUTSTK,LALPATHLAB,25-Jul-2024,XX,2961.05,1145700,-30000
FUTSTK,TITAN,25-Jul-2024,XX,3229.8,9349900,-109025
FUTSTK,HDFCLIFE,25-Jul-2024,XX,633.95,30937500,-776600
FUTSTK,MGL,25-Jul-2024,XX,1721.75,2307200,-99200
FUTSTK,KOTAKBANK,25-Jul-2024,XX,1836.05,37161600,460800
FUTSTK,CIPLA,25-Jul-2024,XX,1515.5,10320700,-45500
FUTSTK,CHAMBLFERT,25-Jul-2024,XX,500.8,10632400,-1301500
FUTSTK,ADANIENT,25-Jul-2024,XX,3109.05,16512300,-79200
FUTSTK,SBIN,25-Jul-2024,XX,851.5,95871000,-2124750
FUTSTK,RECLTD,25-Jul-2024,XX,632.65,49272000,26000
FUTSTK,SHRIRAMFIN,25-Jul-2024,XX,2760.2,7428600,574500
FUTSTK,SBICARD,25-Jul-2024,XX,739.8,18696800,35200
FUTSTK,BAJFINANCE,25-Jul-2024,XX,7077.25,9048000,-67500
