,_c0,INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,OPEN_INT,CHG_IN_OI,prev_close,prev_open_int
0,0,FUTSTK,GAIL,25-Jul-2024,XX,230.41,133905675,553575,229.64,133352100
1,1,FUTSTK,CHOLAFIN,25-Jul-2024,XX,1410.15,8419375,149375,1421.05,8270000
2,2,FUTSTK,JINDALSTEL,25-Jul-2024,XX,1018.55,13918125,321250,1011.0,13596875
3,3,FUTSTK,DRREDDY,25-Jul-2024,XX,6555.0,2869625,10375,6556.7,2859250
4,4,FUTSTK,LT,25-Jul-2024,XX,3637.3,16310850,342300,3660.0,15968550
5,5,FUTSTK,AUROPHARMA,25-Jul-2024,XX,1323.7,12614800,-176550,1342.2,12791350
6,6,FUTSTK,ITC,25-Jul-2024,XX,459.9,118169600,7328000,452.6,110841600
7,7,FUTSTK,POLYCAB,25-Jul-2024,XX,6626.45,3934000,-288875,6377.6,4222875
8,8,FUTSTK,UNITDSPR,25-Jul-2024,XX,1285.45,12878600,86100,1281.15,12792500
9,9,FUTSTK,AARTIIND,25-Jul-2024,XX,704.35,11762000,-118000,702.95,11880000
10,10,FUTSTK,ULTRACEMCO,25-Jul-2024,XX,11591.5,2134500,-30500,11641.4,2165000
11,11,FUTSTK,APOLLOHOSP,25-Jul-2024,XX,6400.15,1993375,-69625,6386.35,2063000
12,12,FUTSTK,BHARTIARTL,25-Jul-2024,XX,1440.65,44318450,-223725,1449.55,44542175
13,13,FUTSTK,HDFCBANK,25-Jul-2024,XX,1629.05,158737150,1355200,1633.3,157381950
14,14,FUTSTK,DIVISLAB,25-Jul-2024,XX,4587.4,2554400,-94200,4656.55,2648600
15,15,FUTSTK,MPHASIS,25-Jul-2024,XX,2566.75,4263325,-114125,2553.75,4377450
16,16,FUTSTK,MOTHERSON,25-Jul-2024,XX,199.22,107259700,603500,201.16,106656200
17,17,FUTSTK,IDFCFIRSTB,25-Jul-2024,XX,78.56,412530000,1657500,78.38,410872500
18,18,FUTSTK,SYNGENE,25-Jul-2024,XX,724.8,6329000,417000,728.45,5912000
19,19,FUTSTK,MGL,25-Jul-2024,XX,1709.35,2337200,30000,1721.75,2307200
20,20,FUTSTK,KOTAKBANK,25-Jul-2024,XX,1847.0,36932400,-229200,1836.05,37161600
21,21,FUTSTK,BPCL,25-Jul-2024,XX,307.65,67296600,1333800,301.85,65962800
22,22,FUTSTK,LUPIN,25-Jul-2024,XX,1817.3,10430775,90525,1822.7,10340250
23,23,FUTSTK,IPCALAB,25-Jul-2024,XX,1228.15,2429700,17550,1222.1,2412150
